Alabama,1.24
Alaska,0.26
Arizona,3.24
Arkansas,1.13
California,2.98
Colorado,3.63
Connecticut,-0.16
Delaware,1.58
District of Columbia,1.71
Florida,2.19
Georgia,2.66
Hawaii,1.66
Idaho,2.72
Illinois,1.2
Indiana,2.06
Iowa,0.55
Kansas,-0.05
Kentucky,1.81
Louisiana,-0.19
Maine,1.45
Maryland,1.52
Massachusetts,2.59
Michigan,2.31
Minnesota,1.89
Mississippi,0.31
Missouri,1.08
Montana,0.62
Nebraska,0.65
Nevada,3.55
New Hampshire,1.91
New Jersey,0.93
New Mexico,0.82
New York,1.15
North Carolina,2.33
North Dakota,1.0
Ohio,1.94
Oklahoma,0.51
Oregon,2.52
Pennsylvania,1.84
Rhode Island,1.57
South Carolina,2.31
South Dakota,0.32
Tennessee,2.46
Texas,2.65
Utah,3.13
Vermont,1.13
Virginia,2.0
Washington,4.43
West Virginia,2.6
Wisconsin,1.66
Wyoming,1.99
